"cell_id","sector_name","sector_letter","sector_number","grid.grid"
1,"R1","R","1",list(c(-27.3795833333334, -27.367973596433, -27.367973596433, -27.3795833333334, -27.3795833333334, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
2,"R2","R","2",list(c(-27.367973596433, -27.3563638595325, -27.3563638595325, -27.367973596433, -27.367973596433, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
3,"R3","R","3",list(c(-27.3563638595325, -27.3447541226321, -27.3447541226321, -27.3563638595325, -27.3563638595325, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
4,"R4","R","4",list(c(-27.3447541226321, -27.3331443857317, -27.3331443857317, -27.3447541226321, -27.3447541226321, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
5,"R5","R","5",list(c(-27.3331443857317, -27.3215346488312, -27.3215346488312, -27.3331443857317, -27.3331443857317, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
6,"R6","R","6",list(c(-27.3215346488312, -27.3099249119308, -27.3099249119308, -27.3215346488312, -27.3215346488312, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
7,"R7","R","7",list(c(-27.3099249119308, -27.2983151750304, -27.2983151750304, -27.3099249119308, -27.3099249119308, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
8,"R8","R","8",list(c(-27.2983151750304, -27.2867054381299, -27.2867054381299, -27.2983151750304, -27.2983151750304, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
9,"R9","R","9",list(c(-27.2867054381299, -27.2750957012295, -27.2750957012295, -27.2867054381299, -27.2867054381299, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
10,"R10","R","10",list(c(-27.2750957012295, -27.2634859643291, -27.2634859643291, -27.2750957012295, -27.2750957012295, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
11,"R11","R","11",list(c(-27.2634859643291, -27.2518762274286, -27.2518762274286, -27.2634859643291, -27.2634859643291, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
12,"R12","R","12",list(c(-27.2518762274286, -27.2402664905282, -27.2402664905282, -27.2518762274286, -27.2518762274286, 38.6404317698185, 38.6404317698185, 38.6494993297254, 38.6494993297254, 38.6404317698185))
